Dates,SPY US Equity,EFA US Equity,XLF US Equity,XLK US Equity,XLV US Equity,XLP US Equity,XLE US Equity,EWJ US Equity,EWZ US Equity,XLU US Equity,XLI US Equity,EZU US Equity,IYR US Equity,XLB US Equity,RWR US Equity,IXN US Equity,ISMUF US Equity,ICF US Equity,IYZ US Equity,ILF US Equity,IEV US Equity,TIP US Equity,AGG US Equity,IEF US Equity,TLT US Equity,SHY US Equity,LQD US Equity
3/31/15,258.6274,86.172,24.8563,48.5194,87.5822,64.1727,93.0989,57.19,43.1837,66.9779,69.5673,52.7909,128.4228,63.2846,148.7871,105.5955,3.0198,155.7502,41.7137,37.5589,60.4741,168.7765,167.2492,155.4451,202.1861,105.9476,204.68927
4/30/15,261.1707,89.3143,24.877,49.8542,86.6267,63.6855,99.2191,58.7,49.8465,66.6614,69.3926,53.9676,122.238,65.4122,140.0238,107.678,4.2634,146.5404,42.4453,41.206,62.9466,169.9206,166.7079,154.4597,195.2558,105.9809,202.25775
5/29/15,264.5283,89.4889,25.3615,50.7791,90.5298,64.2385,94.0709,59.57,44.4227,67.0835,69.6172,53.6256,121.8332,65.6587,139.9766,109.586,4.2634,146.2015,41.4652,38.2115,63.1106,168.2119,165.9797,153.8182,190.6289,106.025,199.99508
6/30/15,259.1609,86.6994,25.2466,48.6924,90.1757,63.0602,90.7994,58.76,45.9566,63.0742,67.7704,52.2664,116.4806,63.067,133.8157,104.8764,4.2634,139.151,40.7099,38.5401,60.913,166.4883,164.1939,151.3108,182.8713,106.0585,196.23138
7/31/15,265.0151,88.461,26.1061,50.0802,92.8425,66.6504,83.8167,59.32,40.2348,66.9232,67.9709,53.8676,122.2475,59.8869,141.7292,106.4989,4.2634,147.9712,40.404,35.087,62.3895,167.3798,165.611,153.6102,191.1906,106.1056,197.86644
8/31/15,248.8624,81.8926,24.2628,47.3163,85.4481,62.6761,80.2528,55.6,34.8917,64.5955,64.2979,50.1502,115.141,56.5114,133.3558,99.9982,4.2634,139.6169,39.6393,31.6856,57.9739,165.7899,165.0543,153.7312,189.8687,106.0531,196.22711
9/30/15,242.5338,78.2739,23.583,46.6704,80.5793,62.9247,74.4948,52.43,30.7826,66.4834,62.8882,47.8111,116.9955,52.3235,137.8717,98.6279,4.2634,145.0086,37.7437,29.2413,55.4387,164.9232,166.3932,156.158,193.5997,106.3657,198.55811
10/30/15,263.1637,83.4494,25.0608,51.5738,86.7964,66.5116,82.8085,56.52,32.0729,67.1899,68.4094,51.3058,124.2675,59.3488,145.8556,109.3381,4.2634,152.6175,41.7558,30.6381,58.8236,165.4173,166.5072,155.1636,192.8069,106.2153,199.69737
11/30/15,264.1256,82.8212,25.5604,51.94,86.5166,65.8982,82.7963,56.79,31.582,65.7616,69.0019,50.902,124.0202,59.9387,144.9596,110.3905,4.2634,152.1322,41.4902,29.5646,58.0017,165.1788,165.8594,154.5007,191.1353,105.9412,199.39147
12/31/15,259.5881,80.8872,24.9601,50.864,88.0124,67.8297,74.1008,56,29.3269,67.1643,67.2328,48.8927,125.3907,57.3431,148.1684,107.5175,4.2634,157.0659,40.2991,27.872,56.1906,163.5091,165.5396,153.7985,190.5589,105.7835,197.22957
